,SGD Regressor,Lasso Regression,Lars Regression,Gaussian Regression,Kernel Regression,Bayessian Regression,Ortalama,Medyan
2023-11-30,4.266865720692911,4.215125533407891,3.9004963064432103,3.7884673577229218,4.337525950280371,4.428088687048746,4.156094925932672,4.215125533407891
2023-12-31,3.903472871351173,3.797298551030988,3.5117035852023597,3.3593612354706885,3.878243430564839,3.79071855143049,3.706859805987521,3.79071855143049
2024-01-31,4.978359567159525,4.96261689541166,4.570022880054565,4.377161547366666,4.683916739937861,4.621694355341783,4.699050058913209,4.683916739937861
2024-02-29,3.183295956301624,3.0451138155791035,2.88378920394472,2.7053445285555533,3.3959471528149043,3.154777943859899,3.061533805207572,3.061533805207572
2024-03-31,3.3004184394483493,3.1442154687647994,3.002362585381646,2.8144124825669525,3.3599339067007516,3.166616449442783,3.1315178007964293,3.1442154687647994
2024-04-30,4.164283670123448,3.9796764598128753,4.101873605493234,3.8832976607755088,4.342701638667945,3.759275624924041,4.038623069746373,4.038623069746373
2024-05-31,4.301857041702154,4.183080583719715,4.086212875628995,3.90071312627113,4.368400639425421,4.106708791572481,4.158044752205522,4.158044752205522
2024-06-30,3.4264600738893147,3.3234753585993593,2.9598285754009135,2.78534104420578,3.1863644432263527,3.1300443415661183,3.135568112496712,3.135568112496712
2024-07-31,3.3975887852225384,3.227478880404444,2.9580483496787435,2.755745743923388,3.1139731399478787,2.9303756418179505,3.0642152454522367,3.0642152454522367
2024-08-31,3.480391291709495,3.3330790090217333,3.130226720974094,2.9372107863504304,3.353967024473903,3.12018349640264,3.226220817565022,3.226220817565022
2024-09-30,3.5488742526070816,3.3805495629712246,3.264881770775596,3.0641083862863905,3.4612439282690977,3.159880177622165,3.313630581762442,3.313630581762442
2024-10-31,3.746129295755085,3.5788555963930158,3.4805131517944066,3.267905905576174,3.6439090119383177,3.2649495587969923,3.497447681870791,3.497447681870791
2024-11-30,3.578823583084745,3.441936391531364,3.2782059867459967,3.0774887359955816,3.5003176420213444,3.219751721241493,3.3499009301898184,3.3499009301898184
2024-12-31,3.58359337198928,3.4515886869701973,3.2627999307604627,3.0668898682761236,3.442953359921219,3.186403349335465,3.332890290589011,3.332890290589011
2025-01-31,4.591923340429771,4.574978034917154,4.191427968011374,3.9907669863861406,4.256085392659004,4.1103351146181355,4.286535825838454,4.256085392659004
2025-02-28,3.3729331344368063,3.2280019662857873,2.984757632514956,2.789526482643101,3.1339390813451162,2.921760397961082,3.0724815471480693,3.0724815471480693
