,SGD Regressor,Linear Regression,Lasso Regression,Lars Regression,Kernel Regression,Gaussian Regression,Bayessian Regression,Robust Regression,Ortalama
2024-01-31,6.00474133500104,5.7927312150823695,5.813870173718305,6.006274103456888,5.838100081332409,5.934087974773328,6.175864071413839,6.406819893250049,5.996561106003506
2024-02-29,2.657414425372173,2.5314327226459543,2.54622575798491,2.6437037144424025,2.580770475497962,2.597997228217541,2.815646777975944,2.853868688735539,2.6535837592819522
2024-03-31,3.594709923214179,3.442730168850905,3.461543332046335,3.6186923174988284,3.4755424805734902,3.4892756063263697,3.77739809965838,3.6434028831459075,3.5631749412684544
2024-04-30,3.779799874121448,3.606054034369155,3.6249489006154656,3.7943328592234815,3.6495460336755103,3.6512977097654664,3.949344927099707,3.7513761188270545,3.7261728689997664
2024-05-31,3.5637101957975865,3.3952601319407023,3.412359018108557,3.545613019989224,3.453135219584513,3.4768949459721528,3.6859145826860225,3.6010864385952575,3.517174344479301
2024-06-30,3.2483776298086076,3.0894494641271475,3.107683157141139,3.243929473870266,3.1357340612385043,3.186509534026305,3.3824596574751675,3.255397597447418,3.206668795515921
2024-07-31,3.090791548098193,2.9221077616576663,2.9411581401627362,3.0862866103943176,2.981232913128218,3.016599610625237,3.266594049464233,3.2241748276743643,3.0668789835609944
2024-08-31,2.6961311394386733,2.541517299928131,2.5589287027929064,2.684752270001023,2.598515925220446,2.6281958125746296,2.8356095111885082,2.873594389159795,2.678006269987776
2024-09-30,2.899483039524986,2.7536382492054035,2.7715704302855304,2.897918241623776,2.803272003994617,2.827588435236983,3.0661147207260875,3.111989320322972,2.892506988452803
2024-10-31,2.8187156653791234,2.67617323264997,2.691547311549347,2.777224283453794,2.738008555866145,2.7563125341466765,2.9612387734733847,2.9923693025549314,2.802508710132323
2024-11-30,3.0101693897939263,2.862458712906668,2.8751509404775,2.922209764740602,2.9387472234047918,2.960603334555345,3.115961772878695,3.044725738116627,2.967069206107542
2024-12-31,2.7738914282264826,2.633295551484105,2.6457070332543298,2.6861950188585393,2.71035188895985,2.737751766563634,2.8726626542171285,2.8610577063834075,2.7410449467250686
2025-01-31,3.618029699632763,3.448664083313946,3.4615475184596622,3.510195457513854,3.539107285440868,3.565777949346738,3.7135669876178667,4.014307797833716,3.61069768444533
2025-02-28,2.861901936998379,2.7201835827396437,2.732386604039405,2.773496781863005,2.7916158573098038,2.7671795677588262,2.9673582565682644,2.9525210368162247,2.8220369194328354
